Type,Side1,Unum1,Time1,Mode1,X1,Y1,Side2,Unum2,Time2,X2,Y2,Success
Pass,right,9,5295,play_on,4.9131,29.1113,right,11,5302,-5.6792,16.9403,true
Dribble,right,11,5302,play_on,-5.6792,16.9403,right,11,5307,-6.5256,19.5902,true
Dribble,right,11,5307,play_on,-6.5256,19.5902,right,11,5311,-8.8223,20.8566,true
Pass,right,11,5311,play_on,-8.8223,20.8566,right,9,5316,-10.8478,27.7582,true
Dribble,right,9,5316,play_on,-10.8478,27.7582,right,9,5319,-12.9195,27.5907,true
Dribble,right,9,5319,play_on,-12.9195,27.5907,right,9,5323,-15.2157,27.2648,true
Pass,right,9,5323,play_on,-15.2157,27.2648,right,11,5327,-20.1115,20.1197,true
Interception,right,11,5327,play_on,-20.1115,20.1197,left,8,5333,-23.1626,21.8602,true
Pass,left,8,5333,play_on,-23.1626,21.8602,left,3,5351,-45.9907,19.8268,true
Pass,left,3,5355,play_on,-45.8278,18.9551,left,2,5362,-43.6757,3.0274,true
Pass,left,2,5362,play_on,-43.6757,3.0274,left,4,5367,-38.6221,-7.6804,true
Pass,left,4,5367,play_on,-38.6221,-7.6804,left,10,5381,-13.4836,-24.8631,true
Dribble,left,10,5381,play_on,-13.4836,-24.8631,left,10,5387,-10.041,-26.8911,true
Dribble,left,10,5387,play_on,-10.041,-26.8911,left,10,5393,-6.3435,-25.3345,true
Dribble,left,10,5393,play_on,-6.3435,-25.3345,left,10,5397,-4.3317,-25.0892,true
Dribble,left,10,5397,play_on,-4.3317,-25.0892,left,10,5404,-1.3927,-21.4969,true
Pass,left,10,5406,play_on,-1.5195,-20.8619,left,6,5414,-15.1571,-7.8518,true
Pass,left,6,5414,play_on,-15.1571,-7.8518,left,7,5420,-7.9993,-13.4366,true
Pass,left,7,5422,play_on,-6.9864,-13.3503,left,9,5433,0.5279,11.0647,true
Pass,left,9,5434,play_on,0.7269,10.3929,left,7,5441,-1.2916,-6.2455,true
Dribble,left,7,5442,play_on,-1.1809,-7.189,left,7,5446,0.8819,-7.3509,true
Pass,left,7,5449,play_on,0.9735,-7.2422,left,4,5458,-6.5419,-20.7625,true
Pass,left,4,5459,play_on,-5.4762,-21.4015,left,10,5470,17.8668,-28.4963,true
Dribble,left,10,5471,play_on,19.308,-28.2511,left,10,5493,38.1699,-20.0063,true
Dribble,left,10,5493,play_on,38.1699,-20.0063,left,10,5502,44.7547,-18.2421,true
Dribble,left,10,5505,play_on,45.8913,-17.0659,left,10,5507,46.2939,-16.6586,true
Pass,left,10,5507,play_on,46.2939,-16.6586,left,7,5515,34.4349,-13.153,true
Pass,left,7,5516,play_on,34.5317,-12.7958,left,9,5520,38.1683,-4.1806,true
Interception,left,9,5520,play_on,38.1683,-4.1806,right,2,5525,40.271,-0.6675,true
MultiTouch,right,2,5526,play_on,40.6399,-0.1581,neutral,-1,5527,40.9077,-0.1351,false
OwnGoal,neutral,-1,5527,play_on,40.9077,-0.1351,neutral,-1,5534,53.2812,6.6474,true
Pass,right,11,5541,kick_off_r,0,0,right,6,5542,1.7929,0.4946,true
Pass,right,6,5542,play_on,1.7929,0.4946,right,11,5543,1.1707,0.4812,true
Dribble,right,11,5543,play_on,1.1707,0.4812,right,11,5547,-1.1898,1.3097,true
Dribble,right,11,5547,play_on,-1.1898,1.3097,right,11,5549,-2.3121,1.9205,true
Pass,right,11,5549,play_on,-2.3121,1.9205,right,9,5556,-2.6767,14.3289,true
Pass,right,9,5560,play_on,-3.5857,14.3223,right,11,5565,-9.6724,7.3923,true
Pass,right,11,5565,play_on,-9.6724,7.3923,right,10,5571,-12.2357,-6.6828,true
Dribble,right,10,5572,play_on,-12.763,-7.3821,right,10,5577,-13.484,-4.545,true
Interception,right,10,5577,play_on,-13.484,-4.545,left,6,5582,-16.0784,-4.5103,true
Pass,left,6,5582,play_on,-16.0784,-4.5103,left,10,5592,-17.1044,-21.9531,true
Pass,left,10,5592,play_on,-17.1044,-21.9531,left,4,5596,-21.0763,-23.3168,true
Pass,left,4,5597,play_on,-20.8295,-23.3318,left,10,5600,-14.5724,-23.5514,true
Dribble,left,10,5600,play_on,-14.5724,-23.5514,left,10,5605,-10.4012,-23.9904,true
Pass,left,10,5606,play_on,-10.6577,-22.9028,left,7,5609,-10.1542,-14.7006,true
Pass,left,7,5612,play_on,-9.4023,-14.1423,left,11,5616,-3.8836,-5.1121,true
Pass,left,11,5619,play_on,-2.985,-4.6905,left,9,5629,-0.0061,16.1352,true
Dribble,left,9,5629,play_on,-0.0061,16.1352,left,9,5635,2.9387,18.355,true
Dribble,left,9,5635,play_on,2.9387,18.355,left,9,5640,4.1167,15.6891,true
Pass,left,9,5645,play_on,5.0641,15.9672,left,8,5647,5.1312,16.5504,true
Pass,left,8,5647,play_on,5.1312,16.5504,left,5,5657,-4.881,25.9307,true
Pass,left,5,5659,play_on,-4.5482,26.1552,left,8,5664,6.6429,22.26,true
Dribble,left,8,5666,play_on,7.2344,21.8863,left,8,5669,7.9006,21.5044,true
Pass,left,8,5670,play_on,7.0078,22.5146,left,5,5676,2.6072,27.3151,true
Pass,left,5,5679,play_on,3.0394,27.5504,left,9,5707,40.4091,30.1318,true
Dribble,left,9,5707,play_on,40.4091,30.1318,left,9,5715,45.4664,28.0146,true
Dribble,left,9,5715,play_on,45.4664,28.0146,left,9,5718,47.2151,27.3891,true
Dribble,left,9,5718,play_on,47.2151,27.3891,left,9,5723,50.04,28.4004,true
Dribble,left,9,5723,play_on,50.04,28.4004,left,9,5731,47.0669,31.6672,true
Pass,left,9,5732,play_on,46.3098,31.7149,left,5,5745,18.6179,30.1827,true
Pass,left,5,5746,play_on,18.7342,29.7029,left,8,5753,28.6491,17.1857,true
Pass,left,8,5753,play_on,28.6491,17.1857,left,7,5761,24.4991,-1.6769,true
Dribble,left,7,5763,play_on,24.751,-0.6433,left,7,5767,26.3495,-1.8818,true
Pass,left,7,5769,play_on,26.3917,-1.3118,left,8,5775,27.4547,13.599,true
Pass,left,8,5777,play_on,27.2038,13.078,left,7,5784,25.6334,-2.8246,true
Pass,left,7,5788,play_on,25.5702,-2.0551,left,8,5794,26.1325,7.8254,true
Dribble,left,8,5794,play_on,26.1325,7.8254,left,8,5797,26.7941,8.8435,true
Pass,left,8,5797,play_on,26.7941,8.8435,left,11,5802,35.6143,12.5016,true
Interception,left,11,5802,play_on,35.6143,12.5016,right,2,5804,35.3418,11.0613,true
Pass,right,2,5804,play_on,35.3418,11.0613,right,9,5811,20.852,15.7191,true
Pass,right,9,5811,play_on,20.852,15.7191,right,11,5818,8.6512,6.0829,true
Dribble,right,11,5818,play_on,8.6512,6.0829,right,11,5823,4.7191,5.6445,true
Dribble,right,11,5823,play_on,4.7191,5.6445,right,11,5832,-1.2228,1.5567,true
Dribble,right,11,5832,play_on,-1.2228,1.5567,right,11,5836,-3.3628,1.3868,true
Pass,right,11,5837,play_on,-3.4351,0.8662,right,10,5843,-8.2414,-10.3896,true
Pass,right,10,5845,play_on,-8.5407,-9.8815,right,11,5848,-9.7227,-2.2247,true
Pass,right,11,5850,play_on,-10.153,-1.9585,right,9,5856,-9.6531,6.6115,true
Dribble,right,9,5856,play_on,-9.6531,6.6115,right,9,5860,-8.7164,4.7596,true
Dribble,right,9,5861,play_on,-9.7064,4.8498,right,9,5866,-12.1412,6.1022,true
Dribble,right,9,5866,play_on,-12.1412,6.1022,right,9,5871,-14.2123,8.3348,true
Interception,right,9,5871,play_on,-14.2123,8.3348,left,8,5872,-14.7614,8.5592,true
OutOfBounds,left,8,5872,play_on,-14.7614,8.5592,neutral,-1,5896,-19.0181,34,false
Pass,right,4,5955,kick_in_r,-19.0181,34,right,9,5959,-24.5018,29.5953,true
Dribble,right,9,5959,play_on,-24.5018,29.5953,right,9,5962,-25.3318,27.4396,true
Interception,right,9,5962,play_on,-25.3318,27.4396,left,5,5963,-25.2827,26.7906,true
